Asset Category,Asset Name as at 31 March 2014,Holding,Market Value (£),Energy utility,Coal / mining,Oil and gas
,SHANDONG WEIGAO GP 'H'CNY0.1,736000,501397.79,No,No,No
,SHAW COMMUNICATION 'B'CNV NPV,1213318,17407368.77,No,No,No
,SHENG SIONG GROUP NPV,3382000,951756.02,No,No,No
,SHIMAMURA CO NPV,5600,290288.18,No,No,No
,SHIN-ETSU CHEMICAL NPV,69400,2382434.2,No,No,No
,SHINKO ELEC INDS NPV,601100,2604779.57,No,No,No
,SHIRE PLC ORD GBP0.05,198793,5852465.92,No,No,No
,SHIZUOKA BANK NPV,530000,3108541.38,No,No,No
,SHOPPERS DRUG MART COM,108600,3590064.11,No,No,No
,SIEMENS AG NPV(REGD),251020,20297607.55,No,No,No
,SINGAPORE AIRLINES NPV,721000,3590341.67,No,No,No
,SINGAPORE EXCHANGE NPV,371000,1228099.05,No,No,No
,SINGAPORE TECHNOLOGIES ENGINEERING,1867000,3392886.33,No,No,No
,SINGAPORE TELECOMMUNICATIONS NEW COM STK,2028000,3521026.96,No,No,No
,SIRONA DENTAL SYS INC COM STK,56000,2507512.67,No,No,No
,SK HYNIX INC,24010,487073.7,No,No,No
,SLM CORP MTN 5.5 01-15-2019,550000,348873.81,No,No,No
,SMC CORP NPV,17300,2743249.47,No,No,No
,SMITH & NEPHEW ORD USD0.20,451673,4103449.21,No,No,No
,SMITHS GROUP ORD GBP0.375,149400,1900368,No,No,No
,SMUCKER J M CO COM NEW COM NEW,56900,3317787.04,No,No,No
,SNAM NPV,2041181,7164976.56,No,No,No
,SOCIETE GENERALE 4% SUB 07/06/2023 EUR100000,200000,172007.3,No,No,No
,SOCIETE GENERALE SUB NT 144A DUE 12-18-2023/12-18-2023 BEO,800000,499055.24,No,No,No
,SOCO INTL COMSTK,527358,2088337.68,No,No,No
,SODEXHO EUR4,59744,3756677.25,No,No,No
,SOHU COM INC COM,26406,1030960.88,No,No,No
,SOLERA HLDGS INC COM,52800,2004762.5,No,No,No
,SOUTH EASTERN POWE 5.5% SNR EMTN 05/06/26 GBP,800000,895367.2,Yes,No,No
,SOUTHERN CO COM STK,210610,5549648.65,No,No,No
,SPECIALIST INVESTM M&G EUROPEAN LOAN C DIS GBP,158259,13822366.21,No,No,No
,SPECTRA ENERGY CORP COM STK,178500,3955126.78,No,No,Yes
,SPECTRIS ORD GBP0.05,89796,2080573.32,No,No,No
,SPIRAX-SARCO ENG ORD GBP0.2596153,39280,1135192,No,No,No
,SSE PLC ORD GBP0.50,1271565,18679289.85,Yes,No,No
,STANDARD CHARTERED BANK 4.375% 18/01/2038,1150000,1090180.45,No,No,No
,STANDARD CHARTERED BANK 8.103% 29-05-2049 BDS GBP(VAR),1300000,1416594.4,No,No,No
,STANDARD CHARTERED ORD,123650,1552776.11,No,No,No
,STANDARD CHARTERED PLC SHS,196746,2466211.11,No,No,No
,STANDARD LIFE 6.75%-VAR GTD BDS PERP GBP,600000,658750.2,No,No,No
,STANDARD LIFE EURO ORD GBP0.002,2320000,4732800,No,No,No
,STANDARD LIFE PLC MTN FLTG RT DUE 04/12/2042,650000,678245.75,No,No,No
,STATOIL ASA,914968,15491911.72,No,No,Yes
,STHN ELEC PWR DIST 4.625% BDS 20/02/2037GBP,2250000,2271231,No,No,No
,STRYKER CORP,62770,3067809.91,No,No,No
,STV GROUP ORD GBP0.50,25000,90500,No,No,No
,SUMITOMO MITSUI FINANCIAL GROUP NPV,182400,4682930.72,No,No,No
,SUMITOMO REALTY & DEVELOPMENT NPV,239000,5626593.28,No,No,No
,SUN PHARMACEUTICAL EQ-INR 1,524962,3032204.88,No,No,No
,SUPERGROUP PLC ORD GBP0.05,160256,2735569.92,No,No,No
,SURUGA BANK NPV,223000,2358696.27,No,No,No
,SUZUKI MOTOR CORP NPV,89900,1410615.32,No,No,No
,SVENSKA CELLULOSA SER'B'NPV,1220279,21506341.59,No,No,No
,SVENSKA HANDELSBKN 5.5% SNR MTN 26/05/2016 GBP,1700000,1845526.8,No,No,No
,SVENSKA HANDELSBKN SER'A'SEK4.30,64864,1947891.06,No,No,No
,SVG CAPITAL ORD GBP1,543230,2277763.39,No,No,No
,SWEDISH MATCH NPV,262700,5140233.72,No,No,No
,SWISS RE AG CHF0.10,51216,2848275.7,No,No,No
,SWISSCOM AG CHF1(REGD),11774,4333270.34,No,No,No
,SYSCO CORP COM,177800,3854297.22,No,No,No
,T&D HOLDINGS INC NPV,173800,1242068.79,No,No,No
,TAIWAN MOBILE CO TWD10,1061000,1981189.68,No,No,No
,TAIWAN SEMICON MAN TWD10,3550000,8251116.05,No,No,No
,TAIWAN SEMICONDUCTOR MFG CO LTD SPONSORED ADR,127055,1524979.99,No,No,No
,TAIYO YUDEN CO LTD NPV,279100,2062874.33,No,No,No
,TAKEDA PHARMACEUTICAL CO NPV,123500,3518882.13,No,No,No
,TARGET CORP COM STK,68603,2489566.78,No,No,No
,TATE & LYLE ORD GBP0.25,128793,859693.28,No,No,No
,TD AMERITRADE HLDG CORP COM STK,101825,2074795.33,No,No,No
,TDC DKK 1 COMSTK,670382,3711579.79,No,No,No
,TDK CORP NPV,128700,3227030.1,No,No,No
,TE CONNECTIVITY LTD,178800,6457455.75,No,No,No
,TECO ENERGY INC COM,352300,3622002.6,Yes,No,No
,TELECITY GROUP ORD GBP0.002,314510,2192134.7,No,No,No
,TELEFONICA EMISION 5.597% MTN 12/03/20 GBP1000,1100000,1203776.2,No,No,No
,TELEKOMUNIKASI SER'B'IDR50,33461800,3904707.69,No,No,No
,TELENOR ASA ORD NOK6,1329176,17671190.85,No,No,No
,TELIASONERA AB NPV,3355155,15147635.03,No,No,No
,TELSTRA CORP LTD NPV,1306290,3681987.48,No,No,No
,TELUS CORPORATION COM NPV(NON CANADIAN),170300,3673248.49,No,No,No
,TENET HEALTHCARE CORP COM NEW .,185175,4753915.08,No,No,No
,TERADATA CORP DEL COM STK,101955,3008227.3,No,No,No
,TERADYNE INC COM,88139,1051017.13,No,No,No
,TERNA SPA ORD EUR0.22,2027516,6513589.03,No,No,No
,TESCO 6% NTS 14/12/2029 GBP(VAR),800000,888026.4,No,No,No
,TESCO ORD GBP0.05,5474307,16171102.87,No,No,No
,TESLA MTRS INC COM,7073,884278.74,No,No,No
,THAI BEVERAGE PLC THB1,3430000,989804.7,No,No,No
,THE PRICELINE GROUP INC,9330,6666627.8,No,No,No
,THK CO LTD NPV,328500,4429326.37,No,No,No
,THOMSON-REUTERS CP COM NPV,161100,3308468.43,No,No,No
,THORNTONS ORD GBP0.10,105906,157270.41,No,No,No
,TIME WARNER CABLE 5.25% 15/07/2042,700000,700407.4,No,No,No
,TOBU RAILWAY CO Y50,1229000,3564778.41,No,No,No
,TOKIO MARINE HOLDINGS INC NPV,87800,1582728.72,No,No,No
,TOKYO ELECTRON NPV,74000,2721370.11,No,No,No
,TOKYO GAS CO LTD NPV,574000,1751840.22,No,No,Yes
,TONEN GEN SEKIYU NPV,621000,3287810.64,No,No,No
,TOPPAN PRINTING CO NPV,742000,3189419.02,No,No,No
,TOTAL EUR2.5,572950,22546386.3,No,No,Yes
,TOYOTA MOTOR CORP NPV,291300,9882975.71,No,No,No
,TRADEME IPO (TIME.NZ),894146,1884878.58,No,No,No
,TRANSCANADA CORP COM NPV,135800,3708432.67,No,No,No
,TRANSPORT FOR LOND 4% EMTN 12/09/33 GBP1000'10,1200000,1209018,No,No,No
,TRAVELERS COS INC COM STK,66100,3373690.83,No,No,No
,TRAVIS PERKINS ORD GBP0.10,58500,1102140,No,No,No
,TREAS WINE ESTATES COMSTK,486517,954789.14,No,No,No
,TREND MICRO INC NPV,49500,918260.6,No,No,No
,TRINITY MIRROR GBP0.10,759494,1465823.42,No,No,No
,TRINSEO MATLS OPER S C A / TRINSEO 8.75 02-01-2019,550000,354234.75,No,No,No
,TRIONISTA HOLDCO GMBH 5.0% DUE 30/04/2020,400000,345300.29,No,No,No
,TRIPADVISOR INC COM COM STK,10634,577832.83,No,No,No
,TSINGTAO BREWERY 'H'CNY1,118000,516904.86,No,No,No
,TSUMURA & CO NPV,95000,1370015.75,No,No,No
,TULLOW OIL ORD GBP0.10,50089,374916.17,No,No,Yes
,TUPRAS(T PETR RAF) TRY1,179480,2277238.61,No,No,No
,TURK TELEKOMUNIKAS TRY1,1120296,1865920.45,No,No,No
,TWITTER INC COM,11465,320949.84,No,No,No
,UBS AG 4.75%-VAR SUB 12/02/26 EUR,800000,678206.55,No,No,No
,UBS AG STAMFORD 7.625% DUE 08-17-2022,1000000,703527.53,No,No,No
,UGL LTD NPV,274607,1070198.57,No,No,No
,UIT ONEOK PARTNERS L P UNIT LTD PARTSHIPCTF OF OWN EVID UNDIV $1000 UIT VAL REG,111900,3594304.44,No,No,No
,UK(GOVT OF) 0.125% IDX LKD GIL 3/44 GBP,9780000,10594110.75,No,No,No
,UK(GOVT OF) 0.25% IDX LKD GILT 22/3/52,4384628,5081375.29,No,No,No
,UK(GOVT OF) 0.5% IDX/LKD 22/3/50 GBP,2638000,3745840.03,No,No,No
,UK(GOVT OF) 0.625% IDX/LKD 22/03/40 GBP,6248600,8514418.34,No,No,No
,UK(GOVT OF) 0.625% IDX/LKD 22/11/42 GBP,3536000,5014051.64,No,No,No
,UK(GOVT OF) 0.75% I/L STK 22/11/2047,3469000,5352946.84,No,No,No
,UK(GOVT OF) 0.75% IDX-LKD 22/3/34 GBP,9590036,11995965.05,No,No,No
,UK(GOVT OF) 1.125% I/L STK 22/11/37 GBP,13010344,20676232.22,No,No,No
,UK(GOVT OF) 1.25% I/L STK 22/11/17 GBP,2498222,3601118.32,No,No,No
,UK(GOVT OF) 1.25% IDX-LKD 22/11/27 GBP,1932000,2988984.92,No,No,No
,UK(GOVT OF) 1.25% IDX-LKD GILT 2055 GBP,3406000,6960754.67,No,No,No
,UK(GOVT OF) 1.875% I/L STK 22/11/22 GBP,5274000,7835535.39,No,No,No
,UK(GOVT OF) 2.5% I/L GILT 17/07/24 GBP,1114000,3670518.6,No,No,No
,UK(GOVT OF) 2.5% I/L STK 16/04/20 GBP,2482000,9021077.2,No,No,No
,UK(GOVT OF) 2.5% I/L STK 26/07/16 GBP,1733000,5860139.5,No,No,No
,UK(GOVT OF) 2% I/L STK 26/01/35 GBP0.01,8162100,16677618.93,No,No,No
,UK(GOVT OF) 4.125% I/L STK 22/07/30 GBP,3390570,10589089.17,No,No,No
,UK(GOVT OF) 4.25% STK 7/3/2036 GBP0.01,650000,733757.05,No,No,No
,UK(GOVT OF) 4% GILT 22/1/2060 GBP0.01,1620000,1825955.46,No,No,No
,UK(GOVT OF)1.25% I/L STK 22/11/2032,8963824,12952699.11,No,No,No
,ULTRA PETE CORP COM NPV,88015,1419622.23,No,No,Yes
,UNICHARM CORP NPV,60200,1931615.03,No,No,No
,UNILEVER INDONESIA IDR10,1342000,2070875.5,No,No,No
,UNILEVER NV CVA EUR0.16,814595,20091901.92,No,No,No
,UNILEVER PLC ORD GBP0.031111,403321,10329050.81,No,No,No
,UNION PAC CORP COM,45900,5166933.08,No,No,No
,UNITED MEXICAN STATES 6.5 06-10-2021,741500,3556633.99,No,No,No
,UNITED PARCEL SVC INC CL B,58600,3423239.46,No,No,No
,UNITED TECHNOLOGIES CORP COM,92593,6488702,No,No,No
,UNITED UTILITIES GROUP ORD GBP0.05,558332,4396864.5,No,No,No
,UNITEDHEALTH GROUP INC COM,71632,3522842.77,No,No,No
,UPCB FINANCE 7.625% BDS 15/01/20 EUR'REG,450000,399921.03,No,No,No
,URUGUAY(REP OF) 7.625% NTS 21/03/2036 USD,500000,383888.65,No,No,No
,UTD O/S BANK NPV,373018,3843116.57,No,No,No
,VARIAN MEDICAL SYSTEMS INC,14100,710433.93,No,No,No
,VERIZON COMMUNICATIONS BNDS 4.75 DUE 02-17-2034 BEO,1300000,1321541,No,No,No
,VERIZON COMMUNICATIONS COM,834232,23793737.35,No,No,No
,VESUVIUS PLC ORD GBP0.10,270436,1175855.73,No,No,No
,VICTREX ORD GBP0.01,67901,1362773.07,No,No,No
,VINCI EUR2.50,544805,24280838.69,No,No,No
,VIRGIN MEDIA SEC F 5.5% BDS 15/1/21,530000,556500,No,No,No
,VIRIDIAN GROUP FUN 11.125% NTS 04/17 EUR'REGS,408000,374602.87,No,No,No
,VISA INC COM CL A STK,8832,1142758.96,No,No,No
,VODAFONE GROUP 5.9% EMTN 26/11/2032 GBP,1150000,1317490.6,No,No,No
,VODAFONE GROUP ORD USD0.2095238,4577395,10081712.49,No,No,No
,VOLVO AB SER'B'NPV,91737,872469.13,No,No,No
,WAL-MART STORES INC COM,175361,8039372.84,No,No,No
,WALT DISNEY CO,31551,1515144.35,No,No,No
,WASTE MGMT INC DEL COM STK,686017,17319649.58,No,No,No
,WATERS CORP COM,20713,1347031.35,No,No,No
,WEIR GROUP ORD GBP0.125,71528,1813950.08,No,No,No
,WELLPOINT INC COM,62977,3764302.96,No,No,No
,WELLS FARGO & CO 4.625% DUE 11-02-2035,2500000,2589775,No,No,No
,WESFARMERS LTD NPV,103506,2370238.59,No,Yes,No
,WESSEX WTR SERVS 4.0% 24/09/2021,1100000,1133446.6,No,No,No
,WEST JAPAN RAILWAY NPV,185100,4542021.56,No,No,No
,WESTERN POWER DISTR HLDG 3.875% 17/10/2024,350000,344142.75,Yes,No,No
,WESTERN POWER WEST 5.75% SNR EMTN 16/04/32 GBP,1100000,1245039.4,Yes,No,No
,WESTFIELD GROUP NPV STAPLED UNITS,186418,1062298.23,No,No,No
,WESTPAC BKG CORP NPV,66891,1285216.13,No,No,No
,WILLIAM HILL 4.25% SNR 05/06/20 GBP10000,600000,589176,No,No,No
,WILLIS GROUP HOLDINGS COM USD0.000115 (NEW),156000,4130305.96,No,No,No
,WILMINGTON GROUP ORD GBP0.05,50011,116025.52,No,No,No
,WIS ENERGY COM,144000,4019026.24,Yes,No,No
,WM MORRISON SUPERMARKETS ORD GBP0.10,2266381,4827391.53,No,No,No
,WOLSELEY ORD GBP0.108030303,43657,1488703.7,No,No,No
,WOLTERS KLUWER EUR0.12,346906,5873473.73,No,No,No
,WOODSIDE PETROLEUM NPV,65897,1429145.15,No,No,Yes
,WOOLWORTHS HLDGS ZAR0.0015,135515,567102.19,No,No,No
,WOOLWORTHS LTD NPV,442392,8785236.58,No,No,No
,XAAR ORD GBP0.10,126084,1182667.92,No,No,No
,XCEL ENERGY INC COM,259273,4721547.43,Yes,No,No
,XEROX CORP COM,466200,3159919.43,No,No,No
,XILINX INC COM,46875,1525901.15,No,No,No
,YAMAHA MOTOR CO NPV,1122800,10751165.08,No,No,No
,YAMATO HOLDINGS NPV,282800,3656652.52,No,No,No
,YARA INTERNATIONAL NOK1.7,70107,1858504.54,No,No,No
,YUM BRANDS INC COM,51300,2320139.02,No,No,No
,ZEON CORPORATION NPV,170000,922818.19,No,No,No
,ZIMMER HLDGS INC COM,48276,2739061.61,No,No,No
,ZURICH FINANCE(UK) 6.625%-VAR GTD MTN PERP GBP,900000,1000417.5,No,No,No
,ZURICH INSURANCE GROUP AG CHF0.10,13614,2506153.86,No,No,No
Property,STANDARD LIFE PROPERTY,,351363838,No,No,No
Unlisted Investments,3i India Infrastructure C,,17994780,No,No,No
Unlisted Investments,Actis Emerging Markets 3,,8997390,No,No,No
Unlisted Investments,Actis IV,,11996520,No,No,No
Unlisted Investments,Alinda Fund I ,,8176687,No,No,No
Unlisted Investments,Alinda Fund II ,,11345013,No,No,No
Unlisted Investments,Astorg IV,,8267101,No,No,No
Unlisted Investments,Carlyle Europe Real Estate Master Co-Investment III LP,,25000000,No,No,No
Unlisted Investments,Carlyle Infrastructure Partners,,17994780,No,No,No
Unlisted Investments,"Cobalt Project Investments, L.P.",,15000000,No,No,No
Unlisted Investments,Crimson Project Investments L.P.,,9510000,No,No,No
Unlisted Investments,"CVC Capital Partners Asia Pacific III, L.P.",,11996520,No,No,No
Unlisted Investments,Dalmore Capital Fund,,25000000,No,No,No
Unlisted Investments,EISER Infrastructure Capital Equity Partners 1-B,,13176105,No,No,No
Unlisted Investments,European Clean Energy Fund LP,,12400652,No,No,No
Unlisted Investments,European Property Growth Fund,,24801304,No,No,No
Unlisted Investments,European Strategic Partners 2008 'A',,12400652,No,No,No
Unlisted Investments,European Strategic Partners II 'D',,17856939,No,No,No
Unlisted Investments,"European Strategic Partners, 2000 'C'",,15046125,No,No,No
Unlisted Investments,"Global Rights Fund II, L.P.",,3598956,No,No,No
Unlisted Investments,GMO Forestry Fund 9,,14995650,No,No,No
Unlisted Investments,GS Vintage IV,,20993911,No,No,No
Unlisted Investments,GS Vintage V,,10496955,No,No,No
Unlisted Investments,Henderson PFI Secondary Fund II LP,,25000000,No,No,No
Unlisted Investments,Henderson PFI Secondary Fund LP,,8000000,No,No,No
Unlisted Investments,Hg RPP2 (Hg Capital Renewable Power Partners 2),,12400652,No,No,No
Unlisted Investments,KKR 2006 Fund (Overseas) LTD,,26992171,No,No,No
Unlisted Investments,KKR European Infrastructure Ltd,,20667754,No,No,No
Unlisted Investments,"KKR Selena Co-Invest, L.P.",,20100000,No,No,No
Unlisted Investments,"Macquarie European Infrastructure Fund IV, L.P.",,12400652,No,No,No
Unlisted Investments,MEIF (Macquarie European Infrastructure Fund),,37188158,No,No,No
Unlisted Investments,MEIF2 (Macquarie European Infrastructure Fund II),,12254310,No,No,No
Unlisted Investments,Pantheon Asia Fund IV Ltd.,,14395824,No,No,No
Unlisted Investments,Partners Group Secondary 2008 SCA SICAR,,12400652,No,No,No
Unlisted Investments,PG Global Real Estate 2008,,15547003,No,No,No
Unlisted Investments,PineBridge PEP IV Co-Investment,,5878295,No,No,No
Unlisted Investments,PineBridge PEP IV Non-US Buyout,,4906275,No,No,No
Unlisted Investments,PineBridge PEP IV Secondary,,4232104,No,No,No
Unlisted Investments,PineBridge PEP IV US Buyout,,18974163,No,No,No
Unlisted Investments,PineBridge PEP IV US Venture,,10556938,No,No,No
Unlisted Investments,PineBridge PEP V US Small-Mid Buyouts,,11996520,No,No,No
Unlisted Investments,PineBridge PEP V US Venture,,17994780,No,No,No
Unlisted Investments,Pinenridge PEP V Asia,,10709024,No,No,No
Unlisted Investments,Scottish Equity Partnership II,,8850000,No,No,No
Unlisted Investments,Scottish Equity Partnership III,,8000000,No,No,No
Unlisted Investments,Scottish Equity Partnership IV,,10000000,No,No,No
Unlisted Investments,Silver Lake Partners III,,11996545,No,No,No
Unlisted Investments,Stafford Elm Inc,,29991301,No,No,No
Unlisted Investments,RREEF (Pan-European Infrastructure Fund),,29437640,No,No,No
